#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/mnt/c/Users/Rajat/Desktop/Project/Python Project/Quantis_QRNG.txt|  2.87e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.82093595|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.36531642|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.76005764|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.67585722|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.78621327|  PASSED  
        diehard_opso|   0|   2097152|     100|0.40558091|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.58520451|  PASSED  
         diehard_dna|   0|   2097152|     100|0.72848555|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.86429122|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.97995192|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.33862926|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.19747899|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.86546016|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.08987458|  PASSED  
        diehard_sums|   0|       100|     100|0.19291760|  PASSED  
        diehard_runs|   0|    100000|     100|0.71080457|  PASSED  
        diehard_runs|   0|    100000|     100|0.32372988|  PASSED  
       diehard_craps|   0|    200000|     100|0.26224069|  PASSED  
       diehard_craps|   0|    200000|     100|0.13622396|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.80818260|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.86379888|  PASSED  
         sts_monobit|   1|    100000|     100|0.90454429|  PASSED  
            sts_runs|   2|    100000|     100|0.11861298|  PASSED  
          sts_serial|   1|    100000|     100|0.08921400|  PASSED  
          sts_serial|   2|    100000|     100|0.79769858|  PASSED  
          sts_serial|   3|    100000|     100|0.60268561|  PASSED  
          sts_serial|   3|    100000|     100|0.98190867|  PASSED  
          sts_serial|   4|    100000|     100|0.36477826|  PASSED  
          sts_serial|   4|    100000|     100|0.61469789|  PASSED  
          sts_serial|   5|    100000|     100|0.32083131|  PASSED  
          sts_serial|   5|    100000|     100|0.86068458|  PASSED  
          sts_serial|   6|    100000|     100|0.21508060|  PASSED  
          sts_serial|   6|    100000|     100|0.15626206|  PASSED  
          sts_serial|   7|    100000|     100|0.06207359|  PASSED  
          sts_serial|   7|    100000|     100|0.02841948|  PASSED  
          sts_serial|   8|    100000|     100|0.01650805|  PASSED  
          sts_serial|   8|    100000|     100|0.13265472|  PASSED  
          sts_serial|   9|    100000|     100|0.00534137|  PASSED  
          sts_serial|   9|    100000|     100|0.74206764|  PASSED  
          sts_serial|  10|    100000|     100|0.89347663|  PASSED  
          sts_serial|  10|    100000|     100|0.35911168|  PASSED  
          sts_serial|  11|    100000|     100|0.78224668|  PASSED  
          sts_serial|  11|    100000|     100|0.89420576|  PASSED  
          sts_serial|  12|    100000|     100|0.65030462|  PASSED  
          sts_serial|  12|    100000|     100|0.71795133|  PASSED  
          sts_serial|  13|    100000|     100|0.32198927|  PASSED  
          sts_serial|  13|    100000|     100|0.35523252|  PASSED  
          sts_serial|  14|    100000|     100|0.57074278|  PASSED  
          sts_serial|  14|    100000|     100|0.36859075|  PASSED  
          sts_serial|  15|    100000|     100|0.30976142|  PASSED  
          sts_serial|  15|    100000|     100|0.03589794|  PASSED  
          sts_serial|  16|    100000|     100|0.26959003|  PASSED  
          sts_serial|  16|    100000|     100|0.76924558|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.40205849|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.91399821|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.94741867|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.09367796|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.89609780|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.83967876|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.93419870|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.21411194|  PASSED  
