		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  251  241  258  227  254  240  243  233  3.314665 0.913088 SUCCESS   0
000000011  256  241  264  247  254  257  269  248  6.147939 0.630665 SUCCESS   1
000000101  238  227  268  236  265  243  245  234  6.385192 0.604168 SUCCESS   2
000000111  222  257  224  254  262  231  257  231  8.420913 0.393470 SUCCESS   3
000001001  237  231  234  241  285  234  232  242  9.575405 0.296100 SUCCESS   4
000001011  213  219  263  233  285  241  251  246 16.147541 0.040316 SUCCESS   5
000001101  245  256  286  260  246  238  239  251  9.582820 0.295535 SUCCESS   6
000001111  223  234  224  271  252  265  245  229 10.182308 0.252463 SUCCESS   7
000010001  239  256  237  258  243  248  248  251  2.072262 0.978716 SUCCESS   8
000010011  217  241  261  265  257  224  235  254  9.395347 0.310050 SUCCESS   9
000010101  219  248  215  263  236  258  243  252  9.204697 0.325324 SUCCESS  10
000010111  256  241  199  239  286  271  255  231 21.097031 0.006894 FAILURE  11
000011001  239  245  238  241  222  278  246  271 10.325296 0.242933 SUCCESS  12
000011011  238  262  270  223  232  242  263  239  8.502469 0.385986 SUCCESS  13
000011101  230  234  245  223  263  237  253  249  5.332380 0.721532 SUCCESS  14
000011111  247  209  242  249  263  228  249  209 13.320622 0.101284 SUCCESS  15
000100011  247  240  228  253  263  252  256  265  5.758165 0.674300 SUCCESS  16
000100101  228  214  235  236  243  242  221  235  8.221789 0.412111 SUCCESS  17
000100111  234  228  250  248  238  232  219  249  5.302723 0.724785 SUCCESS  18
000101001  247  234  232  233  245  250  250  220  4.378070 0.821504 SUCCESS  19
000101011  231  236  233  254  249  255  247  261  3.790232 0.875536 SUCCESS  20
000101101  268  232  267  266  259  214  253  228 13.499622 0.095777 SUCCESS  21
000101111  261  257  241  240  263  264  247  249  5.340853 0.720601 SUCCESS  22
000110011  236  248  237  254  218  254  220  229  7.711270 0.462170 SUCCESS  23
000110101  256  232  246  297  229  225  243  266 17.631435 0.024166 SUCCESS  24
000110111  250  255  264  232  231  222  262  257  7.803418 0.452905 SUCCESS  25
000111001  271  256  235  230  278  225  235  259 12.556962 0.128030 SUCCESS  26
000111011  223  263  259  229  267  235  236  253  8.489759 0.387147 SUCCESS  27
000111101  223  237  237  271  233  269  249  244  8.627450 0.374691 SUCCESS  28
000111111  234  244  238  236  261  246  265  203 11.105903 0.195771 SUCCESS  29
001000011  272  247  263  216  254  240  245  260  9.743813 0.283469 SUCCESS  30
001000101  247  236  230  280  241  245  247  228  7.793885 0.453859 SUCCESS  31
001000111  265  248  235  260  255  247  244  250  4.012657 0.855980 SUCCESS  32
001001011  237  232  255  235  243  265  237  226  5.150203 0.741408 SUCCESS  33
001001101  243  241  234  256  249  239  261  257  3.199216 0.921241 SUCCESS  34
001001111  254  238  244  227  258  236  237  254  3.538150 0.896209 SUCCESS  35
001010011  255  260  233  251  236  253  259  214  7.689028 0.464421 SUCCESS  36
001010101  234  235  237  252  251  249  247  253  1.934570 0.982952 SUCCESS  37
001010111  225  224  230  242  250  248  246  275  8.393374 0.396017 SUCCESS  38
001011011  266  251  263  233  221  231  267  237  9.688736 0.287556 SUCCESS  39
